District,Name,Age
Alabama (District 7),Terri Sewell,52
Arizona (District 1),Tom O?Halleran,71
Arizona (District 3),Raul Grijalva,69
Arizona (District 7),Ruben Gallego,38
Arizona (District 9),Kyrsten Sinema,41
California (District 2),Jared Huffman,53
California (District 3),John Garamendi,72
California (District 5),Mike Thompson,66
California (District 6),Doris Matsui,73
California (District 7),Ami Bera,52
California (District 9),Jerry McNerney,66
California (District 11),Mark DeSaulnier,65
California (District 12),Nancy Pelosi (House Minority Leader),77
California (District 13),Barbara Lee,71
California (District 14),Jackie Speier,67
California (District 15),Eric Swalwell,37
California (District 16),Jim Costa,65
California (District 17),Ro Khanna,41
California (District 18),Anna Eshoo,75
California (District 19),Zoe Lofgren,70
California (District 20),Jimmy Panetta,48
California (District 24),Salud Carbajal,53
California (District 26),Julia Brownley,65
California (District 27),Judy Chu,64
California (District 28),Adam Schiff,57
California (District 29),Tony Cardenas,54
California (District 30),Brad Sherman,63
California (District 31),Pete Aguilar,38
California (District 32),Grace Napolitano,81
California (District 33),Ted Lieu,48
California (District 35),Norma Torres,52
California (District 36),Raul Ruiz,45
California (District 37),Karen Bass,64
California (District 38),Linda Sanchez,48
California (District 40),Lucille Roybal-Allard,76
California (District 41),Mark Takano,57
California (District 43),Maxine Waters,79
California (District 44),Nanette Barragan,41
California (District 46),Lou Correa,59
California (District 47),Alan Lowenthal,76
California (District 51),Juan Vargas,56
California (District 52),Scott Peters,59
California (District 53),Susan Davis,73
Colorado (District 1),Diana DeGette,60
Colorado (District 2),Jared Polis,42
Colorado (District 7),Ed Perlmutter,64
Connecticut (District 1),John B. Larson,69
Connecticut (District 2),Joe Courtney,64
Connecticut (District 3),Rosa DeLauro,74
Connecticut (District 4),Jim Hines,51
Connecticut (District 5),Elizabeth Esty,58
Delaware (At Large),Lisa Blunt Rochester,55
Florida (District 5),Al Lawson,69
Florida (District 7),Stephanie Murphy,39
Florida (District 9),Darren Soto,39
Florida (District 10),Val Demings,60
Florida (District 13),Charlie Crist,61
Florida (District 14),Kathy Castor,51
Florida (District 20),Alcee Hastings,81
Florida (District 21),Ted Deutch,51
Florida (District 22),Lois Frankel,69
Florida (District 23),Debbie Wasserman Schultz,51
Florida (District 24),Frederica Wilson,75
Georgia (District 2),Sanford Bishop,70
Georgia (District 4),Hank Johnson,63
Georgia (District 5),John Lewis,77
Georgia (District 13),David Scott,71
Hawaii (District 1),Colleen Hanabusa,66
Hawaii (District 2),Tulsi Gabbard,36
Illinois (District 1),Bobby Rush,71
Illinois (District 2),Robin Kelly,61
Illinois (District 3),Dan Lipinski,51
Illinois (District 4),Luis Gutierrez,64
Illinois (District 5),Mike Quigley,58
Illinois (District 7),Danny K. Davis,76
Illinois (District 8),Raja Krishnamoorthi,44
Illinois (District 9),Jan Schakowsky,73
Illinois (District 10),Brad Schneider,56
Illinois (District 11),Bill Foster,62
Illinois (District 17),Cheri Bustos,56
Indiana (District 1),Pete Visclosky,68
Indiana (District 7),Andre Carson,43
Iowa (District 2),Dave Loebsack,65
Kentucky (District 3),John Yarmuth,70
Louisiana (District 2),Cedric Richmond,44
Maine (District 1),Chellie Pingree,62
Maryland (District 2),Dutch Ruppersberger,71
Maryland (District 3),John Sarbanes,55
Maryland (District 4),Anthony G. Brown,56
Maryland (District 5),Steny Hoyer,78
Maryland (District 6),John Delaney,54
Maryland (District 7),Elijah Cummings,66
Maryland (District 8),Jamie Raskin,55
Massachusetts (District 1),Richard Neal,68
Massachusetts (District 2),Jim McGovern,58
Massachusetts (District 3), Niki Tsongas,71
Massachusetts (District 4),Joe Kennedy,37
Massachusetts (District 5),Katherine Clark,54
Massachusetts (District 6),Seth Moulton,39
Massachusetts (District 7),Mike Capuano,65
Massachusetts (District 8),Stephen F. Lynch,62
Massachusetts (District 9),Bill Keating,65
Michigan (District 5),Dan Kildee,59
Michigan (District 9),Sander Levin,86
Michigan (District 12),Debbie Dingell,64
Michigan (District 13),John Conyers,88
Michigan (District 14),Brenda Lawrence,63
Minnesota (District 1),Tim Walz,53
Minnesota (District 4),Betty McCollum,63
Minnesota (District 5),Keith Ellison,54
Minnesota (District 7),Collin Peterson,73
Minnesota (District 8),Rick Nolan,74
Mississippi (District 2),Bennie Thompson,69
Missouri (District 1),William Clay,61
Missouri (District 5),Emanuel Cleaver,73
Nevada (District 1),Dina Titus,67
Nevada (District 3),Jacky Rosen,60
Nevada (District 4),Ruben Kihuen,37
New Hampshire (District 1),Carol Shea-Porter,65
New Hampshire (District 2),Ann McLane Kuster,61
New Jersey (District 1),Donald Norcross,59
New Jersey (District 5),Josh Gottheimer,42
New Jersey (District 6),Frank Pallone,66
New Jersey (District 8),Albio Sires,66
New Jersey (District 9),Bill Pascrell,80
New Jersey (District 10),Donald Payne Jr.,59
New Jersey (District 12),Bonnie Watson Coleman,72
New Mexico (District 1),Michelle Lujan Grisham,58
New Mexico (District 3),Ben Ray Lujan,45
New York (District 3),Thomas Suozzi,55
New York (District 4),Kathleen Rice,52
New York (District 5),Gregory Meeks,64
New York (District 6),Grace Meng,42
New York (District 7),Nydia Velazquez,64
New York (District 8),Hakeem Jeffries,47
New York (District 9),Yvette Clarke,53
New York (District 10),Jerrold Nadler,70
New York (District 12),Carolyn Maloney,69
New York (District 13),Adriano Espaillat,63
New York (District 14),Joseph Crowley,55
New York (District 15),Jose Serrano,74
New York (District 16),Eliot Engel,70
New York (District 17),Nita Lowey,80
New York (District 18),Sean Patrick Maloney,51
New York (District 20),Paul Tonko,68
New York (District 25),Louise Slaughter,88
New York (District 26),Brian Higgins,58
North Carolina (District 1),G.K. Butterfield,70
North Carolina (District 4),David Price,77
North Carolina (District 12),Alma Adams,71
Ohio (District 3),Joyce Beatty,66
Ohio (District 9),Marcy Kaptur,71
Ohio (District 11),Marcia Fudge,65
Ohio (District 13),Tim Ryan,44
Oregon (District 1),Suzanne Bonamici,63
Oregon (District 3),Earl Blumenauer,69
Oregon (District 4),Peter DeFazio,70
Oregon (District 5),Kurt Schrader,66
Pennsylvania (District 1),Bob Brady,72
Pennsylvania (District 2),Dwight Evans,63
Pennsylvania (District 13),Brendan F. Boyle,40
Pennsylvania (District 14),Michael Doyle,64
Pennsylvania (District 17),Matt Cartwright,56
Rhode Island (District 1),David Cicilline,56
Rhode Island (District 2),Jim Langevin,53
South Carolina (District 6),Jim Clyburn,77
Tennessee (District 5),Jim Cooper,63
Tennessee (District 9),Steve Cohen,68
Texas (District 9),Al Green,70
Texas (District 15),Vicente Gonzalez,50
Texas (District 16),Beto O?Rourke,45
Texas (District 18),Sheila Jackson Lee,67
Texas (District 20),Joaquin Castro,43
Texas (District 28),Henry Cuellar,62
Texas (District 29),Gene Green,70
Texas (District 30),Eddie Johnson,82
Texas (District 33),Marc Veasey,46
Texas (District 34),Filemon Vela Jr.,54
Texas (District 35),Lloyd Doggett,71
Vermont (At Large),Peter Welch,70
Virginia (District 3),Robert Scott,70
Virginia (District 4),Donald McEachin,56
Virginia (District 8),Don Beyer,67
Virginia (District 11),Gerry Connolly,67
Washington (District 1),Suzan DelBene,54
Washington (District 2),Rick Larsen,52
Washington (District 6),Derek Kilmer,43
Washington (District 7),Pramila Jayapal,52
Washington (District 9),Adam Smith,52
Washington (District 10),Dennis Heck,65
Wisconsin (District 2),Mark Pocan,53
Wisconsin (District 3),Ron Kind,54
Wisconsin (District 4),Gwen Moore,66
Alabama (District 1),Bradley Byrne,62
Alabama (District 2),Martha Roby,41
Alabama (District 3),Mike Rogers,59
Alabama (District 4),Robert Aderholt,52
Alabama (District 5),Mo Brooks,63
Alabama (District 6),Gary Palmer,63
Alaska (At Large),Don Young,84
Arizona (District 2),Martha McSally,51
Arizona (District 4),Paul Gosar,59
Arizona (District 5),Andy Biggs,59
Arizona (District 6),David Schweikert,55
Arizona (District 8),Trent Franks,60
Arkansas (District 1),Rick Crawford,51
Arkansas (District 2),French Hill,61
Arkansas (District 3),Steve Womack,60
Arkansas (District 4),Bruce Westerman,61
California (District 1),Doug LaMalfa,57
California (District 4),Tom McClintock,61
California (District 8),Paul Cook,74
California (District 10),Jeff Denham,50
California (District 21),David Valadao,40
California (District 22),Devin Nunes,44
California (District 23),Kevin McCarthy (House Majority Leader),52
California (District 25),Steve Knight,51
