order,president,age
1,George Washington,57.18356164
2,John Adams,61.34246575
3,Thomas Jefferson,57.89041096
4,James Madison,57.96712329
5,James Monroe,58.84931507
6,John Q. Adams,57.64657534
7,Andrew Jackson,61.96986301
8,Martin Van Buren,54.24383562
9,William H. Harrison,68.0630137
10,John Tyler,51.01643836
11,James K. Polk,49.33424658
12,Zachary Taylor,64.2739726
13,Millard Fillmore,50.50136986
14,Franklin Pierce,48.27671233
15,James Buchanan,65.8630137
16,Abraham Lincoln,52.05479452
17,Andrew Johnson,56.29315068
18,Ulysses S. Grant,46.85205479
19,Rutherford B. Hayes,54.41369863
20,James A. Garfield,49.28767123
21,Chester A. Arthur,51.95616438
22,Grover Cleveland,47.96164384
23,Benjamin Harrison,55.5369863
24,Grover Cleveland,55.96164384
25,William McKinley,54.09315068
26,Theodore Roosevelt,42.88219178
27,William H. Taft,51.46575342
28,Woodrow Wilson,56.18082192
29,Warren G. Harding,55.33424658
30,Calvin Coolidge,51.07945205
31,Herbert Hoover,54.56438356
32,Franklin D. Roosevelt,51.09041096
33,Harry S. Truman,60.92876712
34,Dwight D. Eisenhower,62.26849315
35,John F. Kennedy,43.64657534
36,Lyndon B. Johnson,55.23835616
37,Richard Nixon,56.03013699
38,Gerald Ford,61.07123288
39,Jimmy Carter,52.30410959
40,Ronald Reagan,69.95616438
41,George H. W. Bush,64.60821918
42,Bill Clinton,46.42191781
43,George W. Bush,54.54246575
44,Barack Obama,47.4630137
45,Donald Trump,70.60273973
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
