Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/7/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/13/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/19/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/25/2017,AQS,271377001,1,0.009,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
1/31/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
2/6/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
2/12/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
2/18/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
2/24/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/2/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/8/2017,AQS,271377001,1,0.003,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/14/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/20/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
3/26/2017,AQS,271377001,1,0.001,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/1/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/7/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/13/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/19/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
4/25/2017,AQS,271377001,1,0.002,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
5/1/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
5/7/2017,AQS,271377001,1,0,ug/m3 LC,.,Virginia City Hall,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,47.523355,-92.536305
