"cervid" "diseased"
"1" "whitetail" "yes"
"2" "whitetail" "yes"
"3" "whitetail" "yes"
"4" "whitetail" "yes"
"5" "whitetail" "yes"
"6" "whitetail" "yes"
"7" "whitetail" "yes"
"8" "whitetail" "yes"
"9" "whitetail" "yes"
"10" "whitetail" "yes"
"11" "whitetail" "yes"
"12" "whitetail" "yes"
"13" "whitetail" "yes"
"14" "whitetail" "yes"
"15" "whitetail" "yes"
"16" "whitetail" "yes"
"17" "whitetail" "yes"
"18" "whitetail" "yes"
"19" "whitetail" "yes"
"20" "whitetail" "yes"
"21" "whitetail" "yes"
"22" "whitetail" "yes"
"23" "whitetail" "yes"
"24" "whitetail" "yes"
"25" "whitetail" "yes"
"26" "whitetail" "yes"
"27" "whitetail" "yes"
"28" "whitetail" "yes"
"29" "whitetail" "yes"
"30" "whitetail" "yes"
"31" "whitetail" "yes"
"32" "whitetail" "yes"
"33" "whitetail" "yes"
"34" "whitetail" "yes"
"35" "whitetail" "yes"
"36" "whitetail" "yes"
"37" "whitetail" "yes"
"38" "whitetail" "yes"
"39" "whitetail" "yes"
"40" "whitetail" "yes"
"41" "whitetail" "yes"
"42" "whitetail" "yes"
"43" "whitetail" "yes"
"44" "whitetail" "yes"
"45" "whitetail" "yes"
"46" "whitetail" "yes"
"47" "whitetail" "yes"
"48" "whitetail" "yes"
"49" "whitetail" "yes"
"50" "whitetail" "yes"
"51" "whitetail" "yes"
"52" "whitetail" "yes"
"53" "whitetail" "yes"
"54" "whitetail" "yes"
"55" "whitetail" "yes"
"56" "whitetail" "yes"
"57" "whitetail" "yes"
"58" "whitetail" "yes"
"59" "whitetail" "yes"
"60" "whitetail" "yes"
"61" "whitetail" "yes"
"62" "whitetail" "yes"
"63" "whitetail" "yes"
"64" "whitetail" "yes"
"65" "whitetail" "yes"
"66" "whitetail" "yes"
"67" "whitetail" "yes"
"68" "whitetail" "yes"
"69" "whitetail" "yes"
"70" "whitetail" "yes"
"71" "whitetail" "yes"
"72" "whitetail" "yes"
"73" "whitetail" "yes"
"74" "whitetail" "yes"
"75" "whitetail" "yes"
"76" "whitetail" "yes"
"77" "whitetail" "yes"
"78" "whitetail" "yes"
"79" "whitetail" "yes"
"80" "whitetail" "yes"
"81" "whitetail" "yes"
"82" "whitetail" "yes"
"83" "whitetail" "yes"
"84" "whitetail" "yes"
"85" "whitetail" "yes"
"86" "whitetail" "yes"
"87" "whitetail" "yes"
"88" "whitetail" "yes"
"89" "whitetail" "yes"
"90" "whitetail" "yes"
"91" "whitetail" "yes"
"92" "whitetail" "yes"
"93" "whitetail" "yes"
"94" "whitetail" "yes"
"95" "whitetail" "yes"
"96" "whitetail" "yes"
"97" "whitetail" "yes"
"98" "whitetail" "yes"
"99" "whitetail" "yes"
"100" "whitetail" "yes"
"101" "whitetail" "yes"
"102" "whitetail" "yes"
"103" "whitetail" "yes"
"104" "whitetail" "yes"
"105" "whitetail" "yes"
"106" "whitetail" "yes"
"107" "whitetail" "yes"
"108" "whitetail" "yes"
"109" "whitetail" "yes"
"110" "whitetail" "yes"
"111" "whitetail" "yes"
"112" "whitetail" "yes"
"113" "whitetail" "yes"
"114" "whitetail" "yes"
"115" "whitetail" "yes"
"116" "whitetail" "yes"
"117" "whitetail" "yes"
"118" "whitetail" "yes"
"119" "whitetail" "yes"
