# CropYield.txt
#
# Agronomists are interested in determining conditions that increase the yield of crops.  In one
#   experiment 80 1-acre plots of corn are randomly divided into two groups of 40 plots each.  An
#   insecticide is used on each plot in one group and sterilized male individuals of an insect pest
#   are released on the each plot of the other group.
#
# group: Tratment for the plot
# yield: yield (bushels) for the plot
#
group	yield
insecticide	109
insecticide	101
insecticide	97
insecticide	89
insecticide	100
insecticide	98
insecticide	98
insecticide	94
insecticide	99
insecticide	104
insecticide	103
insecticide	88
insecticide	108
insecticide	102
insecticide	106
insecticide	97
insecticide	105
insecticide	102
insecticide	104
insecticide	101
insecticide	101
insecticide	100
insecticide	105
insecticide	110
insecticide	96
insecticide	102
insecticide	95
insecticide	100
insecticide	95
insecticide	109
insecticide	91
insecticide	98
insecticide	113
insecticide	91
insecticide	95
insecticide	106
insecticide	98
insecticide	101
insecticide	99
insecticide	96
ster.males	105
ster.males	109
ster.males	110
ster.males	118
ster.males	109
ster.males	113
ster.males	111
ster.males	111
ster.males	99
ster.males	112
ster.males	106
ster.males	117
ster.males	99
ster.males	107
ster.males	119
ster.males	110
ster.males	111
ster.males	103
ster.males	110
ster.males	108
ster.males	104
ster.males	102
ster.males	111
ster.males	114
ster.males	114
ster.males	122
ster.males	117
ster.males	101
ster.males	109
ster.males	109
ster.males	102
ster.males	109
ster.males	103
ster.males	109
ster.males	106
ster.males	107
ster.males	107
ster.males	111
ster.males	128
ster.males	109
