# DeathAnxiety.txt
#
# Death Anxiety Scale (DAS) is a measure of an individual's anxiety concerning death.  A
#   researcher (Death Studies, 1990) examined 25 organ donors and 69 non-organ donors to
#   determine if there was a difference in anxiety levels concerning death between these
#   groups of people.  
#
DAS	donor
4.2	organ
8.4	organ
7.5	organ
5.3	organ
7.1	organ
8.4	organ
3.9	organ
2.9	organ
5.4	organ
5.2	organ
5.6	organ
6.5	organ
4.4	organ
2.8	organ
3.6	organ
4.4	organ
8.2	organ
6.8	organ
4.5	organ
7.2	organ
10.6	organ
5.8	organ
3.0	organ
1.2	organ
5.0	organ
6.5	non.organ
6.9	non.organ
11.4	non.organ
10.2	non.organ
12.3	non.organ
8.0	non.organ
3.6	non.organ
6.1	non.organ
12.3	non.organ
5.8	non.organ
7.0	non.organ
11.3	non.organ
4.8	non.organ
6.8	non.organ
12.6	non.organ
8.5	non.organ
6.5	non.organ
12.9	non.organ
7.0	non.organ
5.7	non.organ
5.4	non.organ
0.7	non.organ
7.8	non.organ
7.7	non.organ
10.5	non.organ
5.7	non.organ
3.7	non.organ
9.0	non.organ
0.5	non.organ
16.9	non.organ
3.3	non.organ
4.6	non.organ
3.3	non.organ
4.8	non.organ
4.8	non.organ
4.5	non.organ
4.7	non.organ
1.7	non.organ
2.4	non.organ
9.0	non.organ
3.0	non.organ
7.4	non.organ
7.1	non.organ
10.9	non.organ
8.2	non.organ
6.7	non.organ
9.9	non.organ
4.4	non.organ
8.5	non.organ
9.7	non.organ
12.3	non.organ
8.6	non.organ
2.9	non.organ
4.6	non.organ
7.1	non.organ
12.9	non.organ
7.2	non.organ
11.8	non.organ
1.8	non.organ
9.2	non.organ
11.8	non.organ
5.8	non.organ
9.0	non.organ
12.0	non.organ
9.7	non.organ
8.1	non.organ
10.7	non.organ
5.6	non.organ
8.2	non.organ
