year,mon,day,boats.up,boats.down,boats.total,lockings,remarks
1976,4,8,1,1,2,NA,
1976,4,9,3,4,7,NA,
1976,4,10,12,12,24,NA,
1976,4,11,0,1,1,NA,
1976,4,12,2,2,4,NA,
1976,4,13,9,9,18,NA,
1976,4,14,2,2,4,NA,
1976,4,15,0,1,1,NA,
1976,4,16,3,4,7,NA,
1976,4,17,15,13,28,NA,
1976,4,18,6,7,13,NA,
1976,4,19,8,6,14,NA,
1976,4,20,0,0,0,NA,
1976,4,21,1,1,2,NA,
1976,4,22,3,3,6,NA,
1976,4,23,1,2,3,NA,
1976,4,24,3,3,6,NA,
1976,4,25,1,1,2,NA,
1976,4,26,2,3,5,NA,
1976,4,27,1,3,4,NA,
1976,4,28,12,11,23,NA,
1976,4,29,11,7,18,NA,
1976,4,30,2,1,3,NA,
1976,5,1,37,37,74,NA,
1976,5,2,0,2,2,NA,
1976,5,3,0,0,0,NA,
1976,5,4,2,3,5,NA,
1976,5,5,1,2,3,NA,
1976,5,6,2,2,4,NA,
1976,5,7,7,7,14,NA,
1976,5,8,59,59,118,NA,
1976,5,9,130,125,255,NA,
1976,5,10,3,7,10,NA,
1976,5,11,10,9,19,NA,
1976,5,12,28,23,51,NA,
1976,5,13,0,2,2,NA,
1976,5,14,40,40,80,NA,
1976,5,15,9,9,18,NA,
1976,5,16,27,26,53,NA,
1976,5,17,2,3,5,NA,
1976,5,18,16,18,34,NA,
1976,5,19,42,38,80,NA,
1976,5,20,12,15,27,NA,
1976,5,21,47,48,95,NA,
1976,5,22,108,110,218,NA,
1976,5,23,121,116,237,NA,
1976,5,24,10,8,18,NA,
1976,5,25,40,37,77,NA,
1976,5,26,50,53,103,NA,
1976,5,27,48,42,90,NA,
1976,5,28,13,12,25,NA,
1976,5,29,29,32,61,NA,
1976,5,30,67,63,130,NA,
1976,5,31,144,169,313,NA,
1976,6,1,14,14,28,NA,
1976,6,2,34,48,82,NA,
1976,6,3,51,51,102,NA,
1976,6,4,72,65,137,NA,
1976,6,5,239,256,495,NA,
1976,6,6,263,241,504,NA,
1976,6,7,72,66,138,NA,
1976,6,8,60,65,125,NA,
1976,6,9,68,74,142,NA,
1976,6,10,28,27,55,NA,
1976,6,11,108,121,229,NA,
1976,6,12,103,119,222,NA,
1976,6,13,144,148,292,NA,
1976,6,14,25,22,47,NA,
1976,6,15,1,1,2,NA,
1976,6,16,12,12,24,NA,
1976,6,17,36,36,72,NA,
1976,6,18,5,5,10,NA,
1976,6,19,158,171,329,NA,
1976,6,20,231,227,458,NA,
1976,6,21,55,49,104,NA,
1976,6,22,41,36,77,NA,
1976,6,23,13,15,28,NA,
1976,6,24,0,2,2,NA,
1976,6,25,49,46,95,NA,
1976,6,26,144,140,284,NA,
1976,6,27,181,176,357,NA,
1976,6,28,19,21,40,NA,
1976,6,29,7,5,12,NA,
1976,6,30,18,17,35,NA,
1976,7,1,82,82,164,NA,
1976,7,2,116,114,230,NA,
1976,7,3,189,197,386,NA,
1976,7,4,270,280,550,NA,
1976,7,5,231,233,464,NA,
1976,7,6,53,53,106,NA,
1976,7,7,48,43,91,NA,
1976,7,8,76,83,159,NA,
1976,7,9,18,15,33,NA,
1976,7,10,92,96,188,NA,
1976,7,11,174,175,349,NA,
1976,7,12,41,40,81,NA,
1976,7,13,60,59,119,NA,
1976,7,14,49,51,100,NA,
1976,7,15,24,24,48,NA,
1976,7,16,30,31,61,NA,
1976,7,17,143,135,278,NA,
1976,7,18,231,231,462,NA,
1976,7,19,5,6,11,NA,
1976,7,20,6,6,12,NA,
1976,7,21,41,42,83,NA,
1976,7,22,24,25,49,NA,
1976,7,23,47,46,93,NA,
1976,7,24,203,211,414,NA,
1976,7,25,238,239,477,NA,
1976,7,26,13,15,28,NA,
1976,7,27,52,54,106,NA,
1976,7,28,7,8,15,NA,
1976,7,29,33,33,66,NA,
1976,7,30,44,42,86,NA,
1976,7,31,44,42,86,NA,
1976,8,1,157,154,311,NA,
1976,8,2,36,35,71,NA,
1976,8,3,51,51,102,NA,
1976,8,4,18,20,38,NA,
1976,8,5,16,18,34,NA,
1976,8,6,26,25,51,NA,
1976,8,7,147,142,289,NA,
1976,8,8,193,202,395,NA,
1976,8,9,44,45,89,NA,
1976,8,10,19,21,40,NA,
1976,8,11,25,24,49,NA,
1976,8,12,30,31,61,NA,
1976,8,13,40,38,78,NA,
1976,8,14,36,37,73,NA,
1976,8,15,145,146,291,NA,
1976,8,16,27,24,51,NA,
1976,8,17,28,26,54,NA,
1976,8,18,30,33,63,NA,
1976,8,19,55,50,105,NA,
1976,8,20,60,57,117,NA,
1976,8,21,148,148,296,NA,
1976,8,22,198,198,396,NA,
1976,8,23,23,25,48,NA,
1976,8,24,38,40,78,NA,
1976,8,25,22,23,45,NA,
1976,8,26,29,27,56,NA,
1976,8,27,21,24,45,NA,
1976,8,28,70,84,154,NA,
1976,8,29,130,124,254,NA,
1976,8,30,8,8,16,NA,
1976,8,31,19,17,36,NA,
1976,9,1,3,3,6,NA,
1976,9,2,10,11,21,NA,
1976,9,3,10,10,20,NA,
1976,9,4,66,72,138,NA,
1976,9,5,139,153,292,NA,
1976,9,6,121,113,234,NA,
1976,9,7,8,10,18,NA,
1976,9,8,16,17,33,NA,
1976,9,9,2,2,4,NA,
1976,9,10,10,8,18,NA,
1976,9,11,46,46,92,NA,
1976,9,12,74,73,147,NA,
1976,9,13,3,3,6,NA,
1976,9,14,5,5,10,NA,
1976,9,15,1,4,5,NA,
1976,9,16,1,1,2,NA,
1976,9,17,4,4,8,NA,
1976,9,18,40,41,81,NA,
1976,9,19,8,8,16,NA,
1976,9,20,0,0,0,NA,
1976,9,21,0,0,0,NA,
1976,9,22,2,2,4,NA,
1976,9,23,1,1,2,NA,
1976,9,24,5,4,9,NA,
1976,9,25,9,9,18,NA,
1976,9,26,14,16,30,NA,
1976,9,27,2,2,4,NA,
1976,9,28,0,0,0,NA,
1976,9,29,4,4,8,NA,
1976,9,30,8,7,15,NA,
1976,10,1,16,15,31,NA,
1976,10,2,46,43,89,NA,
1976,10,3,82,77,159,NA,
1976,10,4,1,1,2,NA,
1976,10,5,0,0,0,NA,
1976,10,6,1,1,2,NA,
1976,10,7,0,0,0,NA,
1976,10,8,1,0,1,NA,
1976,10,9,5,5,10,NA,
1976,10,10,23,19,42,NA,
1976,10,11,4,3,7,NA,
1976,10,12,4,3,7,NA,
1976,10,13,0,0,0,NA,
1976,10,14,0,0,0,NA,
1976,10,15,0,0,0,NA,
1976,10,16,1,1,2,NA,
1976,10,17,4,4,8,NA,
1976,10,18,1,1,2,NA,
1976,10,19,0,0,0,NA,
1976,10,20,1,1,2,NA,
1976,10,21,0,0,0,NA,
1976,10,22,0,0,0,NA,
1976,10,23,1,0,1,NA,
1976,10,24,1,3,4,NA,
1976,10,25,0,0,0,NA,
1976,10,26,0,0,0,NA,
1976,10,27,0,0,0,NA,
1976,10,28,0,0,0,NA,
1976,10,29,0,1,1,NA,
1976,10,30,3,3,6,NA,CLOSED
1977,4,15,7,8,15,NA,LOCKINGS NOT AVAILABLE
1977,4,16,50,48,98,NA,LOCKINGS NOT AVAILABLE
1977,4,17,100,94,194,NA,
1977,4,18,15,15,30,NA,
1977,4,19,2,2,4,NA,
1977,4,20,4,4,8,NA,
1977,4,21,0,0,0,NA,
1977,4,22,3,3,6,NA,
1977,4,23,62,62,124,NA,
1977,4,24,3,4,7,NA,
1977,4,25,1,3,4,NA,
1977,4,26,22,16,38,NA,
1977,4,27,17,16,33,NA,
1977,4,28,1,1,2,NA,
1977,4,29,18,21,39,NA,
1977,4,30,107,113,220,NA,
1977,5,1,81,82,163,NA,
1977,5,2,9,9,18,NA,
1977,5,3,3,2,5,NA,
1977,5,4,3,3,6,NA,
1977,5,5,9,8,17,NA,
1977,5,6,23,18,41,NA,
1977,5,7,60,67,127,NA,
1977,5,8,93,90,183,NA,
1977,5,9,4,5,9,NA,
1977,5,10,22,25,47,NA,
1977,5,11,26,24,50,NA,
1977,5,12,47,47,94,NA,
1977,5,13,46,44,90,NA,
1977,5,14,180,179,359,NA,
1977,5,15,64,59,123,NA,
1977,5,16,16,18,34,NA,
1977,5,17,9,11,20,NA,
1977,5,18,35,35,70,NA,
1977,5,19,42,40,82,NA,
1977,5,20,16,16,32,NA,
1977,5,21,121,122,243,NA,
1977,5,22,26,32,58,NA,
1977,5,23,27,26,53,NA,
1977,5,24,48,45,93,NA,
1977,5,25,62,60,122,NA,
1977,5,26,43,42,85,NA,
1977,5,27,75,64,139,NA,
1977,5,28,214,227,441,NA,
1977,5,29,134,129,263,NA,
1977,5,30,202,207,409,NA,
1977,5,31,0,0,0,NA,
1977,6,1,2,2,4,NA,
1977,6,2,10,10,20,NA,
1977,6,3,51,47,98,NA,
1977,6,4,149,149,298,NA,
1977,6,5,131,124,255,NA,
1977,6,6,1,1,2,NA,
1977,6,7,16,18,34,NA,
1977,6,8,3,3,6,NA,
1977,6,9,22,22,44,NA,
1977,6,10,18,16,34,NA,
1977,6,11,42,38,80,NA,
1977,6,12,32,26,58,NA,
1977,6,13,14,13,27,NA,
1977,6,14,54,56,110,NA,
1977,6,15,48,45,93,NA,
1977,6,16,25,22,47,NA,
1977,6,17,52,51,103,NA,
1977,6,18,66,72,138,NA,
1977,6,19,162,158,320,NA,
1977,6,20,24,24,48,NA,
1977,6,21,53,47,100,NA,
1977,6,22,39,38,77,NA,
1977,6,23,13,14,27,NA,
1977,6,24,69,60,129,NA,
1977,6,25,232,233,465,NA,
1977,6,26,252,243,495,NA,
1977,6,27,46,50,96,NA,
1977,6,28,4,4,8,NA,
1977,6,29,56,49,105,NA,
1977,6,30,5,3,8,NA,
1977,7,1,10,10,20,NA,
1977,7,2,209,211,420,NA,
1977,7,3,54,61,115,NA,
1977,7,4,262,263,525,NA,
1977,7,5,57,58,115,NA,
1977,7,6,33,36,69,NA,
1977,7,7,32,33,65,NA,
1977,7,8,60,52,112,NA,
1977,7,9,170,169,339,NA,
