# SexDirection.txt
#
# A sample of 30 males and 30 female was taken to an unfamiliar wooded park and given 
#   spatial orientation tests, including pointing to the south.  The absolute 
#   pointing error, in degrees, was recorded.
#
#  abserr: absoluting pointing error in degrees
#  sex: sex of participant (male, female)
#
# Data taken from Weiss, N.A. 2002.  Elementary Statistics.  Addison Wesley. p.451.
# Data originally from Sholl, X, et al.  2000.  The relation of sex and sense of direction 
#   to spatial orientation in an unfamiliar environment.  Journal of Environmental 
#   Psychology.  20:17-28.
#
abserr	sex
13	male
13	male
38	male
59	male
58	male
8	male
130	male
68	male
23	male
5	male
3	male
20	male
39	male
18	male
60	male
86	male
167	male
67	male
33	male
3	male
5	male
22	male
15	male
26	male
10	male
11	male
9	male
70	male
30	male
19	male
14	female
122	female
128	female
109	female
12	female
91	female
8	female
78	female
31	female
36	female
27	female
68	female
20	female
69	female
18	female
27	female
8	female
66	female
3	female
111	female
35	female
32	female
3	female
176	female
138	female
3	female
111	female
35	female
80	female
15	female
