Year,Turkey.Vulture,Osprey,Bald.Eagle,Northern.Harrier,Sharp.Shinned.Hawk,Coopers.Hawk,Northern.Goshawk,Broadwinged.Hawk,Red.Tailed.Hawk,Rough.Legged.Hawk,Golden.Eagle,American.Kestrel,Merlin,Peregrine.Falcon,Unid.Other,Total
1972,280,99,31,403,6672,95,5382,26912,3619,148,26,544,13,11,154,44389
1973,294,89,41,462,8254,80,3566,20791,4508,172,16,472,13,4,116,38878
1974,246,83,93,560,10924,68,1400,32277,2927,375,19,593,17,8,328,49918
1975,368,73,60,711,10763,54,312,44220,7279,739,19,634,15,20,264,65531
1976,352,114,80,1207,21974,40,308,30010,6738,418,19,776,41,25,361,62463
1977,472,145,68,602,15373,31,110,16049,3194,363,11,782,22,5,444,37671
1978,487,203,79,614,14293,71,166,53027,3957,636,13,758,32,8,224,74568
1979,492,193,86,562,10795,66,326,55448,3176,409,19,944,23,14,194,72747
1980,243,157,82,582,11127,117,250,16307,3941,389,10,781,46,15,112,34159
1981,384,164,149,811,9971,60,981,30905,7142,278,11,732,30,12,100,51730
1982,402,97,207,386,7150,43,5819,17809,5410,724,17,560,31,23,119,38797
1983,1446,224,384,274,9439,66,1999,35932,3342,253,29,778,57,28,3,54254
1984,978,247,376,961,12574,91,934,36378,11665,195,37,917,62,33,7,65455
1985,866,146,159,606,11474,68,584,24819,4259,91,20,666,122,27,5,43912
1986,249,145,332,400,11595,89,354,18290,2667,565,31,927,115,21,2,35782
1987,368,205,166,429,11492,66,203,12622,2060,261,6,880,141,11,0,28910
1988,666,279,261,705,12303,91,177,18868,3653,268,26,1325,178,29,38,38867
1989,869,279,396,1198,16989,144,106,41900,2820,359,19,1898,208,53,3,67241
1990,569,190,422,384,9959,93,626,24461,3397,335,29,1123,188,18,7,41801
1991,1175,316,582,648,18524,210,1007,53190,7486,431,32,1819,339,28,11,85798
1992,777,433,982,387,16288,257,2247,37487,5875,299,69,2016,236,71,13,67437
1993,1740,475,1725,807,20206,356,1393,110272,8195,311,58,2686,311,67,13,148615
1994,841,315,4368,1390,19183,192,305,51383,15448,1011,133,2391,453,50,10,97473
1995,955,308,1953,450,17897,121,362,51048,7520,728,79,1493,303,45,0,83262
1996,1989,511,3293,331,16370,177,343,13385,9678,413,119,1565,223,42,11,48450
1997,1325,517,2407,721,22344,200,454,49327,9275,345,103,2498,460,111,20,90107
1998,1357,575,3289,1126,19863,205,226,9516,8532,525,85,2253,457,69,10,48088
1999,1912,442,3155,1373,20449,290,558,86513,9770,834,121,2861,277,62,22,128639
2000,1554,327,1919,263,15063,258,1236,57730,4933,501,116,2744,273,92,17,87026
2001,1419,387,3307,472,12314,209,1170,14736,9064,337,190,2025,204,45,14,45893
2002,1639,539,3837,664,18851,173,653,56672,11034,549,176,3769,253,93,9,98911
2003,2243,318,3356,928,21091,158,866,160776,12897,580,161,1484,178,38,13,205087
