cervid,diseased
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
whitetail,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
mule,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
elk,yes
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
whitetail,no
