frozen,fresh
0.8,0.83
0.86,0.86
1,0.83
1.07,0.87
1.01,0.87
1.01,0.91
1.06,0.92
1.06,0.99
1.06,1.07
1.02,1.05
0.98,1
0.86,0.99
0.82,1.05
0.76,1.03
0.95,1.09
1.26,0.96
1.16,0.99
1.15,1.01
1.14,1.07
1.16,1.16
1.14,1.17
1.11,1.2
1.2,1.21
1.23,1.17
1.45,1.54
1.71,1.46
1.85,1.44
1.85,1.63
1.86,1.72
1.8,1.81
1.72,1.94
1.74,1.8
1.65,1.81
1.61,1.64
1.61,1.59
1.59,2.01
1.6,2.06
1.65,2.11
1.9,1.9
1.93,1.9
1.96,2.02
2,1.8
2.09,1.85
2.01,1.98
2.13,1.94
2.09,2.02
2.15,2.06
2.18,2.16
2.05,2.16
2.41,2.75
2.44,2.83
2.59,2.61
2.89,2.56
2.89,1.64
