tree,observer,circ,eyeht,horizdist,angle,height
1,Ingrid,4.97,1.51,50,54,70.33
2,Ingrid,6.65,1.51,50,55,72.92
3,Ingrid,4.93,1.51,31.2,64.1,65.76
4,Dylan,0.29,1.73,16.5,12.5,5.39
5,Ingrid,0.19,1.51,11.8,17,5.12
6,Ingrid,0.45,1.51,9.24,38.4,8.83
7,Ingrid,0.62,1.51,6.42,52.1,9.76
8,Ingrid,0.64,1.51,7.4,55,12.08
9,Ingrid,0.18,1.51,7.17,27.2,5.19
10,Ingrid,0.55,1.51,10.8,48,13.5
11,Ingrid,0.4,1.51,11.15,40.1,10.9
12,Dylan,0.39,1.73,14.7,19,6.79
13,Dylan,0.62,1.73,16.8,28,10.66
14,Dylan,0.27,1.73,14.8,34,11.71
15,Dylan,0.41,1.73,7.9,48,10.5
16,Dylan,0.15,1.73,6.1,8.8,2.67
17,Dylan,0.86,1.73,16.5,41,16.07
18,Dylan,2.22,1.73,33.6,39,28.94
19,Dylan,1.97,1.73,35.4,45,37.13
20,Dylan,2.85,1.73,46.7,40,40.92
21,Dylan,2.84,1.73,50,36.4,38.59
22,Dylan,1.24,1.73,35.7,44,36.21
23,Dylan,2.23,1.73,41.3,42,38.92
24,Dylan,2.45,1.73,42.2,44,42.48
25,Ingrid,9.09,1.58,76.43,45,78.01
