Date,WaterTempC,DschrgCFS,SuspSed
25May89,NA,192,252
20Sep89,10,56,11
8Nov89,7.5,60,7
16Jan90,1,53,16
13Mar90,4,236,227
13Mar90,NA,236,214
13Mar90,NA,472,422
14Mar90,3,674,539
14Mar90,NA,724,488
15Mar90,2,901,788
26Jun90,12,55,9
18Sep90,9,67,8
18Oct90,5,375,350
6Dec90,2.5,54,4
21Mar91,1,345,403
9May91,7.5,75,865
19Jun91,14.5,167,183
21Jun91,13.5,488,468
29Jul91,14,500,299
3Sep91,17.5,482,840
9Sep91,17.5,252,237
9Oct91,7,63,8
20May02,5.4,60,NA
17Jun02,9,75,NA
18Jul02,11.9,250,7
19Aug02,12.6,51,5
16Sep02,11.4,50,3
15Oct02,6.5,57,4
