name,size
Alabama Gulf Coast Zoo,30
The Alaska Zoo,20
Heritage Park Zoological Sanctuary,10
Little Rock Zoo,33
Charles Paddock Zoo,5
Cheyene Mountain Zoo,146
Beardsley Zoo,40
Brandywine Zoo,12
Brevard Zoo,50
North Georgia Zoo,30
Honolulu Zoo,42
Zoo Boise ,11
Cosley Zoo,5
Indianapolis Zoo,70
Blank Park Zoo,49
Topeka Zoo,80
Louisville Zoo,100
BRCE's Baton Rogue Zoo,297
Acadia Zoological Park,15
Maryland/Baltimore  Zoo,160
Buttonwood Zoo,12
Cindy Lou's Zoo,20
Minnesota Zoo,500
Hattiesburg Zoo,14
Dickerson Park Zoo,304
Zoo Montana,70
Riverside Zoo,22
Cape May County Park Zoo,128
Alameda Park Zoo,7
Buffalo Zoo,23
Dakota Zoo,67
Columbus Zoo,580
Tulsa Zoo,84
Oregon Zoo,64
Erie Zoo,15
Roger Williams Park Zoo,98
The Greenville Zoo,14
Great Plains Zoo ,45
Knoxville Zoo,53
Amarillo City Zoo,15
Willow Park Zoo,9
Virginia Zoo,53
Woodland Park Zoo,92
Oglebay's Good Zoo,30
National Zoo,163
Milwaukee Zoo,200
