# lake: lake that respondent lives on
# year: year that respondent bought their property
# prmryRes: whether or not the property is the respondent's primary residence
# sumDays: number of summer days the respondent (or their family) spends at the residence
# sumGuest: number of summer days that a guest spends at the residence
# sumRent: number of summer days that the residence is rented
# fishing: approx. days (as a category) that respondent spends fishing
# boating: approx. days (as a category) that respondent spends boating
# waterSki: approx. days (as a category) that respondent spends water skiing
# smallBoats: approx. days (as a category) that respondent spends in a canoe, kayak, or rowboat
# sail: approx. days (as a category) that respondent spends sailboating
# jetSki: approx. days (as a category) that respondent spends jet skiing
# swim: approx. days (as a category) that respondent spends swimming
# gender: the respondent's gender (male or female)
# age: the respondent's age
# sizeHousehold: number of members in the respondent's household
# children: number of children under age-18 in the household
# educat: categorical level of education (ltHS=no high school diploma, HS= highschool diploma, someColl=some College, College= BA, BS, or AA degree, GradProf=graduate or professional degree
# inc: income category
# value: respondent's belief as to the current value of their property
#
# this is only a portion of the actualy survey which can be found at http://lter.limnology.wisc.edu/sites/default/files/ntl/pdf/nwlr_survey.pdf
#
# Note that the levels for the fishing, boating, waterSki, smallBoats, sail, jetSki, and swim variables should be controlled.
#   For example, using the fish variable (and assuming the data frame is called df)
#
# df$fish <- factor(df$fish,levels=c("0_days","1_6_days","7_14_days","15_30_days","30_60_days","60+_days"))
#
lake	year	prmryRes	sumDays	sumGuest	sumRent	fishing	boating	waterSki	smallBoats	sail	jetSki	swim	gender	age	sizeHousehold	children	educat	inc	value
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	1998	Yes	8	8	8	15_30_days	7_14_days	7_14_days	0_days	0_days	0_days	0_days	Male	54	5	0	HS	110	350000
NA	NA	Yes	8	8	8	60+_days	60+_days	1_6_days	1_6_days	7_14_days	0_days	60+_days	NA	NA	NA	NA	NA	NA	NA
NA	NA	No	20	70	70	7_14_days	15_30_days	1_6_days	1_6_days	0_days	0_days	15_30_days	Female	44	3	1	College	10	129900
NA	NA	No	20	40	7	7_14_days	1_6_days	0_days	1_6_days	0_days	0_days	1_6_days	Female	55	4	2	GradProf	90	180000
NA	NA	No	14	2	0	7_14_days	7_14_days	0_days	1_6_days	0_days	0_days	1_6_days	NA	NA	NA	NA	NA	NA	NA
Alder_Lake	1963	No	45	0	0	7_14_days	15_30_days	7_14_days	1_6_days	0_days	0_days	15_30_days	Male	74	2	0	College	30	350000
Alder_Lake	2000	Yes	8	8	8	1_6_days	30_60_days	7_14_days	1_6_days	0_days	1_6_days	30_60_days	Male	69	2	0	someColl	NA	1000000
Alder_Lake	1999	No	21	0	26	15_30_days	15_30_days	0_days	0_days	0_days	0_days	1_6_days	Female	46	2	0	College	70	135000
Alder_Lake	1999	No	30	15	0	15_30_days	15_30_days	0_days	1_6_days	0_days	1_6_days	0_days	Male	61	1	0	College	40	325000
