# LaysanFinch.txt
#
# Originally from Dr. Andrew Taylor -- http://www2.hawaii.edu/~taylor/
# I put names in for the sex code and added a location variable (this is not actual locations, 
#   though.  I wanted a second categorical variable for analysis).
#
# weight: weight (g) of bird
# upwid: width (cm) of upper mandible
# lowwid: width (cm) of lower mandible
# bklen: length (cm) of beak
# tarsus: length (cm) of tarsus
# stern: length (cm) of sternum
# sex: sex of bird (female, male)
# loc: location of capture (generically labeled as A, B,C)
#
weight	upwid	lowwid	bklen	tarsus	stern	sex	loc
28	0.742	0.76	1.141	2.389	1.658	female	A
26	0.712	0.725	1.1	2.45	1.668	female	A
33.5	0.764	0.788	1.269	2.554	1.688	female	A
31	0.776	0.789	1.136	2.533	1.732	female	A
33.5	0.766	0.79	1.309	2.666	1.812	female	A
30	0.778	0.799	1.203	2.458	1.628	female	A
33.5	0.786	0.812	1.41	2.517	1.608	female	A
31	0.759	0.779	1.228	2.506	1.704	female	A
35	0.762	0.784	1.227	2.472	1.67	female	A
31	0.762	0.784	1.224	2.552	1.598	female	A
34.5	0.755	0.774	1.278	2.558	1.728	female	A
32.5	0.756	0.778	1.275	2.558	1.656	female	A
31.5	0.766	0.778	1.29	2.566	1.61	female	A
24	0.702	0.717	1.158	2.46	1.652	female	A
32	0.758	0.78	1.242	2.511	1.679	female	A
25	0.766	0.782	1.188	2.405	1.567	female	A
27	0.766	0.784	1.212	2.509	1.674	female	A
29	0.754	0.768	1.322	2.587	1.69	female	A
29	0.772	0.801	1.319	2.628	1.632	female	A
26.5	0.762	0.788	1.236	2.488	1.662	female	B
27	0.774	0.79	1.25	2.449	1.646	female	B
32.5	0.754	0.773	1.232	2.478	1.66	female	B
33	0.768	0.794	1.228	2.517	1.642	female	B
34.5	0.737	0.758	1.222	2.538	1.662	female	B
24	0.746	0.768	1.216	2.554	1.642	female	B
29	0.762	0.792	1.225	2.554	1.608	female	B
28.5	0.777	0.796	1.29	2.446	1.704	female	B
29	0.766	0.783	1.249	2.492	1.691	female	B
28	0.775	0.797	1.257	2.456	1.608	female	B
29.5	0.754	0.774	1.224	2.489	1.664	female	C
28.5	0.754	0.776	1.296	2.476	1.692	female	C
32	0.752	0.773	1.228	2.533	1.7	female	C
33	0.775	0.817	1.238	2.442	1.673	female	C
30	0.777	0.79	1.244	2.448	1.744	female	C
27	0.738	0.762	1.236	2.474	1.681	female	C
28.5	0.728	0.75	1.16	2.451	1.5	female	C
29	0.732	0.734	1.182	2.566	1.569	female	C
30	0.742	0.764	1.254	2.571	1.652	female	C
26.5	0.721	0.732	1.129	2.47	1.537	female	C
27.5	0.736	0.758	1.152	2.574	1.705	female	C
30	0.73	0.746	1.218	2.47	1.592	female	C
33.5	0.77	0.786	1.268	2.523	1.71	female	C
29.5	0.757	0.776	1.262	2.396	1.58	female	C
37.5	0.816	0.848	1.342	2.631	1.776	male	A
38.5	0.781	0.804	1.296	2.559	1.828	male	A
41.5	0.812	0.836	1.348	2.587	1.867	male	A
29.5	0.79	0.818	1.256	2.591	1.767	male	A
32	0.789	0.813	1.314	2.504	1.688	male	A
34.5	0.767	0.779	1.314	2.568	1.798	male	A
33.5	0.812	0.829	1.344	2.623	1.734	male	A
28	0.8	0.822	1.161	2.598	1.813	male	A
30	0.822	0.842	1.366	2.595	1.732	male	A
42.5	0.79	0.822	1.332	2.5	1.769	male	A
40	0.81	0.836	1.304	2.65	1.816	male	B
38.5	0.788	0.813	1.243	2.639	1.723	male	B
37	0.836	0.851	1.338	2.584	1.727	male	B
34	0.807	0.829	1.318	2.686	1.942	male	B
35	0.846	0.912	1.422	2.658	1.87	male	B
33.5	0.842	0.875	1.321	2.548	1.845	male	B
29.5	0.78	0.796	1.232	2.688	1.786	male	B
33	0.814	0.9	1.334	2.614	1.786	male	B
36.5	0.824	0.854	1.33	2.634	1.877	male	B
34	0.824	0.85	1.32	2.518	1.828	male	B
36	0.84	0.874	1.367	2.597	1.796	male	B
35	0.778	0.82	1.264	2.576	1.726	male	B
34	0.805	0.824	1.354	2.718	1.778	male	B
31	0.793	0.804	1.256	2.686	1.805	male	B
31.5	0.825	0.84	1.298	2.514	1.788	male	B
32.5	0.851	0.872	1.306	2.616	1.924	male	B
33	0.81	0.836	1.292	2.627	1.852	male	B
35.5	0.842	0.893	1.374	2.622	1.832	male	B
37.5	0.858	0.939	1.341	2.715	1.908	male	B
36	0.816	0.842	1.33	2.612	1.844	male	B
35.5	0.854	0.918	1.222	2.588	1.846	male	B
34.5	0.824	0.86	1.301	2.657	1.761	male	B
37	0.854	0.918	1.367	2.668	1.816	male	B
34	0.828	0.868	1.309	2.642	1.785	male	B
36.5	0.822	0.848	1.252	2.494	1.807	male	C
32	0.782	0.825	1.326	2.598	1.822	male	C
35.5	0.83	0.861	1.301	2.646	1.754	male	C
34.5	0.824	0.846	1.218	2.653	1.846	male	C
34	0.829	0.846	1.342	2.774	1.874	male	C
34.5	0.822	0.853	1.299	2.502	1.858	male	C
31	0.826	0.867	1.324	2.667	1.887	male	C
31	0.766	0.782	1.227	2.612	1.648	male	C
35	0.812	0.838	1.228	2.568	1.794	male	C
30	0.764	0.785	1.204	2.572	1.762	male	C
30.5	0.784	0.818	1.336	2.489	1.844	male	C
34	0.794	0.844	1.304	2.698	1.92	male	C
34.5	0.816	0.85	1.29	2.619	1.741	male	C
34	0.778	0.801	1.2	2.706	1.792	male	C
35	0.796	0.822	1.264	2.454	1.85	male	C
34.5	0.803	0.834	1.255	2.496	1.698	male	C
34	0.798	0.82	1.307	2.638	1.82	male	C
34	0.799	0.824	1.314	2.571	1.873	male	C
30.5	0.79	0.815	1.29	2.474	1.759	male	C
35.5	0.808	0.844	1.378	2.647	1.823	male	C
34.5	0.769	0.787	1.26	2.597	1.81	male	C
